,Oil_Price,year,price_diff,value,Natural_Gas_Value,Oil_Price_Diff,Natural_Gas_Rolling
114,74.16,2018.0,-0.8299999999999983,14.887,14.887,-2.995421844342716,13.660666666666666
115,76.94,2018.0,-0.1099999999999994,15.307999999999998,15.307999999999998,3.7486515641855567,14.781333333333334
116,76.94,2018.0,-0.1099999999999994,14.860499999999998,14.860499999999998,0.0,15.018499999999998
117,74.84,2018.0,-0.8400000000000034,12.175,12.175,-2.7293995321029274,14.1145
118,57.71,2018.0,-0.5799999999999983,10.155,10.155,-22.88882950293961,12.396833333333332
119,57.71,2018.0,-0.5799999999999983,9.9155,9.9155,0.0,10.7485
120,62.46,2019.0,0.5700000000000003,9.9075,9.9075,8.23080921850632,9.992666666666668
121,65.03,2019.0,-0.519999999999996,9.879,9.879,4.114633365353826,9.900666666666668
122,65.03,2019.0,-0.519999999999996,9.891,9.891,0.0,9.8925
123,72.19,2019.0,0.9699999999999988,10.9775,10.9775,11.010302937105942,10.249166666666667
124,66.78,2019.0,-2.769999999999996,12.638,12.638,-7.494112757999716,11.168833333333334
125,66.78,2019.0,-2.769999999999996,14.5675,14.5675,0.0,12.727666666666666
126,64.07,2019.0,1.519999999999996,15.5035,15.5035,-4.058101227912559,14.236333333333334
127,64.07,2019.0,1.519999999999996,15.81,15.81,0.0,15.293666666666669
128,60.99,2019.0,-1.4899999999999949,15.1925,15.1925,-4.807242078976104,15.502
129,59.3,2019.0,-0.9200000000000016,13.1465,13.1465,-2.770946056730617,14.716333333333331
130,59.3,2019.0,-0.9200000000000016,10.255,10.255,0.0,12.864666666666665
131,67.77,2019.0,-0.5300000000000011,9.647,9.647,14.283305227655996,11.016166666666663
132,57.77,2020.0,0.0500000000000042,9.774,9.774,-14.755791648221916,9.892
133,57.77,2020.0,0.0500000000000042,9.508,9.508,0.0,9.643
134,19.19,2020.0,0.120000000000001,9.832,9.832,-66.78206681668686,9.704666666666666
135,18.11,2020.0,0.25,10.2255,10.2255,-5.627931214174053,9.855166666666667
136,18.11,2020.0,0.25,10.933,10.933,0.0,10.330166666666663
137,41.64,2020.0,0.0600000000000022,13.4515,13.4515,129.92821645499723,11.536666666666669
138,43.13,2020.0,0.1500000000000056,15.038999999999998,15.038999999999998,3.5782901056676364,13.141166666666663
139,43.13,2020.0,0.1500000000000056,15.557,15.557,0.0,14.6825
140,40.3,2020.0,-0.0300000000000011,14.7,14.7,-6.561558080222596,15.098666666666665
141,40.3,2020.0,-0.0300000000000011,12.652,12.652,0.0,14.303
142,46.84,2020.0,-0.0399999999999991,11.395,11.395,16.22828784119108,12.915666666666668
143,51.22,2020.0,0.4799999999999969,9.821000000000002,9.821000000000002,9.350982066609712,11.289333333333332
144,51.22,2020.0,0.4799999999999969,9.5305,9.5305,0.0,10.248833333333334
145,51.22,2020.0,0.4799999999999969,9.745,9.745,0.0,9.698833333333337
146,63.52,2021.0,0.240000000000002,10.706,10.706,24.01405700898087,9.993833333333331
147,67.73,2021.0,-0.5300000000000011,11.484,11.484,6.627833753148615,10.645
148,67.73,2021.0,-0.5300000000000011,13.133,13.133,0.0,11.774333333333333
149,76.94,2021.0,1.5600000000000025,15.581,15.581,13.598110143215704,13.399333333333333
150,76.94,2021.0,1.5600000000000025,17.012,17.012,0.0,15.242
151,73.45,2021.0,1.1899999999999975,17.773,17.773,-4.53600207954249,16.788666666666668
152,77.81,2021.0,-0.0499999999999971,17.4085,17.4085,5.936010891763099,17.397833333333335
153,77.81,2021.0,-0.0499999999999971,16.4105,16.4105,0.0,17.197333333333333
154,70.86,2021.0,-2.480000000000004,13.0515,13.0515,-8.932013879964018,15.6235
155,77.24,2021.0,-1.3700000000000043,12.3235,12.3235,9.003669206886823,13.9285
156,92.35,2022.0,0.8799999999999955,11.7165,11.7165,19.56240290005178,12.363833333333332
157,103.08,2022.0,4.519999999999996,11.9265,11.9265,11.618841364374678,11.988833333333334
158,107.29,2022.0,-8.299999999999997,12.581,12.581,4.08420644159877,12.074666666666666
159,107.29,2022.0,-8.299999999999997,13.7185,13.7185,0.0,12.742
160,125.53,2022.0,2.519999999999996,15.9055,15.9055,17.00065243731941,14.068333333333332
161,119.78,2022.0,-1.019999999999996,19.642,19.642,-4.580578347805309,16.422
162,119.78,2022.0,-1.019999999999996,20.9985,20.9985,0.0,18.848666666666663
